regionName,cells,neurons,glia,excitatory,inhibitory,modulatory,astrocytes,oligodendrocytes,microglia,acronym
Posterior parietal association areas,180174.805391,89948.7954454,90226.0099457,80580.2948567,8783.145021,585.355567661,10683.4419863,43267.6729516,36274.8950078,PTLp
Anterior cingulate area dorsal part,145192.068372,66059.0189829,79133.0493893,54585.4850083,10733.7601895,739.773785011,8218.38490396,31388.5764251,39526.0880602,ACAd
Infralimbic area,159344.287432,91201.4775836,68142.8098482,75499.5034065,14926.3821854,775.591991776,8874.98039762,43344.4965238,15923.3329268,ILA
Anterior cingulate area ventral part,158988.877139,87184.8841209,71803.993018,67950.7179533,18533.7189598,700.447207818,10810.8603973,33610.4577828,27382.6748379,ACAv
Agranular insular area dorsal part,122609.308705,70218.450771,52390.8579339,61439.6062195,8324.76638509,454.078166459,15852.5373976,26322.1770731,10216.1434633,AId
Agranular insular area posterior part,121354.279037,76680.3498295,44673.9292079,63774.1451957,12536.8300542,369.374579532,2665.69098398,23930.7894768,18077.4487472,AIp
Agranular insular area ventral part,121526.138326,69508.0457249,52018.0926012,61498.1770334,7554.59305354,455.275638038,15450.4235313,27634.0908468,8933.57822309,AIv
Frontal pole cerebral cortex,75406.1571628,46677.9188685,28728.2382943,9082.52490996,37317.7695402,277.62441833,736.966637747,9903.62015932,18087.6514972,FRP
Primary somatosensory area barrel field,172443.055261,81340.0965704,91102.9586904,74812.4105098,6139.54972982,388.136330718,8885.89371239,38191.439356,44025.625622,SSp-bfd
Primary somatosensory area lower limb,158333.679749,74596.5278609,83737.1518881,67631.7904265,6353.56433036,611.173104092,12341.4669189,42339.8290271,29055.8559421,SSp-ll
Primary somatosensory area mouth,139099.240341,63498.983258,75600.257083,56484.411712,6605.26177155,409.30977442,8961.65881721,34656.8047961,31981.7934697,SSp-m
Primary somatosensory area nose,140706.633074,66579.2085199,74127.4245541,59187.3081535,7056.73704246,335.163323908,7223.61457978,31560.2741685,35343.5358058,SSp-n
Primary somatosensory area trunk,192403.969952,97979.3909952,94424.5789567,88526.0411472,8848.42440523,604.925442759,13319.2722827,44038.283977,37067.0226969,SSp-tr
Primary somatosensory area upper limb,146392.121755,65066.8908163,81325.2309384,58637.5425678,5968.02989173,461.318356761,12527.2621025,40000.5757268,28797.3931091,SSp-ul
Supplemental somatosensory area,160649.447425,82648.8273224,78000.6201029,74901.1986904,7364.04769537,383.580936566,4928.03127841,35468.0357978,37604.5530267,SSs
Primary visual area,183922.23348,100245.618611,83676.6148691,89000.2106678,10923.4272644,321.980678752,11687.2887052,32537.2229969,39452.103167,VISp
Anteromedial visual area,180961.690973,90879.8301063,90081.8608664,80254.575017,10073.6316427,551.623446651,12580.0939061,49574.9672324,27926.7997279,VISam
Anterolateral visual area,183217.692513,91971.8320582,91245.8604545,83577.3590651,7920.88614822,473.58684481,9078.54287998,39230.2386662,42937.0789083,VISal
Lateral visual area,163430.430119,80853.1783107,82577.251808,74364.3724696,6225.26731029,263.538530745,9079.89895844,31011.1768573,42486.1759922,VISl
Posterolateral visual area,179613.581928,99440.0037571,80173.5781712,88341.5206875,10808.4346968,290.048372705,10038.9799465,28893.6270136,41240.9712112,VISpl
posteromedial visual area,202918.869178,143204.948622,59713.9205562,116216.553346,26672.6649967,315.730279638,12591.5852973,15634.3745207,31487.9607382,VISpm
Temporal association areas,170304.579909,102983.897273,67320.6826358,92349.2175264,10228.0444029,406.635343443,3717.21684655,29011.2302257,34592.2355636,TEa
Visceral area,139179.756877,80115.735699,59064.0211781,70946.4084925,8733.01637051,436.310836056,3505.21926213,32498.3576368,23060.4442792,VISC
Orbital area lateral part,138216.809098,71569.3425745,66647.4665231,60764.6860911,10328.2417065,476.414776933,10320.7052015,42892.4029339,13434.3583877,ORBl
